dataset,forget_ratio,method,n,retained_bacc_mean,retained_bacc_ci,retained_auc_mean,retained_auc_ci,mia_gap_mean,mia_gap_ci,l2_to_oracle_mean,l2_to_oracle_ci,runtime_mean,runtime_ci,runtime_to_oracle_mean,runtime_to_oracle_ci,type_leak_auc_mean,type_leak_auc_ci,attribute_leak_auc_mean,attribute_leak_auc_ci
German Credit,1.0,Oracle-Retrain,3,0.5,0.0,0.7526471626016602,0.02480665245680822,0.028134589903323164,0.011163463506735525,0.0,0.0,0.0032824306496574,0.00013530125836884265,1.0,0.0,1.0,0.0,0.9184777777777778,0.007943248531587588
Bank Marketing,0.25,FedAvg-Full,3,0.5001603715568584,0.00044721146284472585,0.8042040179399943,0.005987769934403918,0.018906402204113767,0.015570571263304406,0.004312221275975066,0.00017696324698765614,0.04385377766448067,0.0019452147849901489,1.0367120028307286,0.03328007840652566,1.0,0.0,0.8959888888888888,0.01874615121782281
Bank Marketing,0.25,SISA-Retrain,3,0.4999550346014386,4.349364470236406e-08,0.7907301123308516,0.0058746787326353555,0.01857265969255653,0.016013105606386722,0.15164137333248823,4.31117323968776e-05,0.020633194663484202,0.0021619809619565587,0.48660836095531596,0.0173055797603634,1.0,0.0,0.8791074074074073,0.010573810723061636
Bank Marketing,0.25,FedEraser-proxy,3,0.5002711135280655,0.0003750433732187747,0.8041831848061616,0.00583135928584693,0.01894932583236603,0.015630115528474695,1.3256981893370176e-06,1.3316589808035742e-06,0.04170174965596133,0.002891253332775206,0.9848272368419021,0.0048453182658642355,1.0,0.0,0.8780037037037037,0.022727113087443282
Bank Marketing,0.25,FedRecovery-proxy,3,0.5003810519625423,0.00023147299458914445,0.8124523326683133,0.006134266839746766,0.019281244956734132,0.01539847406344606,0.09069147847476662,0.00018093673750887887,0.021830152681407766,0.0010450456674760233,0.5159678700226177,0.012853932857891725,1.0,0.0,0.8877777777777779,0.004053378224247832
Bank Marketing,0.25,Starfish-proxy,3,0.5002711135280655,0.0003750433732187747,0.8115267507012854,0.005913360348000569,0.019184849837905135,0.015518492350509984,0.08038863744541859,0.00013065496956265178,0.021132194669917198,0.001538355098297143,0.499009701739144,0.0060884870492197915,0.9747481481481483,0.005528530036784361,0.6597259259259259,0.033403186274507383
Bank Marketing,0.25,MA-ABE-FU,3,0.5004917939337493,0.00020419007212741703,0.8128584480520534,0.005904427842780986,0.01926295095222053,0.015434828274553223,0.09458509588499701,0.00012628292821867154,0.0260050969955045,0.0023698302679138767,0.613618826514667,0.013093370771956724,0.6145592592592592,0.021653852019472355,0.501925925925926,0.009978186553808593
Bank Marketing,0.25,Oracle-Retrain,3,0.5002711135280655,0.0003750433732187747,0.8041828465268237,0.0058318015822492394,0.01894932583236603,0.015630115528474695,0.0,0.0,0.0423469719923256,0.0029995588074457655,1.0,0.0,1.0,0.0,0.8926037037037037,0.015544087955742459
Bank Marketing,0.5,FedAvg-Full,3,0.5001603715568584,0.00044721146284472585,0.8042040179399943,0.005987769934403918,0.021563260956391,0.010178801177506249,0.008795586987423635,0.0001054810501302584,0.04385377766448067,0.0019452147849901489,1.0094263080989903,0.05341592336939492,1.0,0.0,0.9079740740740739,0.01793495898700552
Bank Marketing,0.5,SISA-Retrain,3,0.4999550346014386,4.349364470236406e-08,0.7904044114810865,0.005348974428016888,0.021757665154219966,0.010299555185217893,0.15148374421228275,3.692650554452466e-05,0.021521458334367066,0.0006838385553087814,0.49544485575326425,0.02416277586015342,1.0,0.0,0.9067296296296297,0.004736793215281236
Bank Marketing,0.5,FedEraser-proxy,3,0.5002711135280655,0.0003750433732187747,0.8038633219082129,0.005327744526338129,0.0215646222133667,0.010529011197249976,7.827741151471998e-07,6.847649234179769e-07,0.0419405276770703,0.0004588195136901696,0.9654247357923224,0.03272440453559975,1.0,0.0,0.9081370370370371,0.018766811076493396
Bank Marketing,0.5,FedRecovery-proxy,3,0.5003810519625423,0.00023147299458914445,0.8124285134844128,0.0060012743025413375,0.02155058108422513,0.010412015700473029,0.09088346979931461,0.0002125782698364048,0.021409458655398266,0.00088236418056642,0.49292677065394946,0.029362346960791423,1.0,0.0,0.9033222222222221,0.002282306955042901
Bank Marketing,0.5,Starfish-proxy,3,0.5002711135280655,0.0003750433732187747,0.8115028461876456,0.005793103685990288,0.021541658940655697,0.010410867670871035,0.0806443026543513,0.00016461664289706593,0.021291041669125297,0.0006891908677478216,0.49012560509382386,0.023476142791280654,0.984137037037037,0.0033147641030674747,0.662437037037037,0.029495077885061016
Bank Marketing,0.5,MA-ABE-FU,3,0.500601732368226,2.6604097937447572e-05,0.8128392589959065,0.005782502834912825,0.021502512454185135,0.01042326944402267,0.094755120417237,0.00016079022489863358,0.025440486322622732,0.00017581211293760666,0.5854970156865299,0.010342810559267737,0.6230629629629629,0.029849028065690706,0.49188518518518515,0.05509001632738902
Bank Marketing,0.5,Oracle-Retrain,3,0.5002711135280655,0.0003750433732187747,0.803863559220566,0.005327888490507901,0.021564623463511567,0.010527947004101324,0.0,0.0,0.043459902663016636,0.0009830706112791356,1.0,0.0,1.0,0.0,0.8981222222222222,0.03500575969069424
