dataset,seed,forget_ratio,method,clients,affected_clients,forget_train,forget_test,retained_acc,retained_bacc,retained_auc,forget_scope_bacc,forget_scope_auc,mia_auc,mia_gap,l2_to_oracle,runtime,runtime_to_oracle,type_leak_auc,attribute_leak_auc,full_retained_bacc
German Credit,3,1.0,SISA-Retrain,12,10,211,97,0.7843137254901961,0.5,0.7629261363636364,0.5,0.6304347826086957,0.4718815654468168,0.0281184345531831,0.1342526661792087,0.0018315420020371,0.5414358191510716,1.0,0.9161555555555555,0.5113636363636364
German Credit,3,1.0,FedEraser-proxy,12,10,211,97,0.7843137254901961,0.5,0.7731534090909091,0.5,0.644927536231884,0.47940587286852,0.0205941271314799,0.0009558212778177,0.0029059170046821,0.8590398429657011,1.0,0.8946777777777778,0.5113636363636364
German Credit,3,1.0,FedRecovery-proxy,12,10,211,97,0.7892156862745098,0.5113636363636364,0.7802556818181818,0.5,0.6909633418584825,0.4748131137929349,0.025186886207065,0.0716626475030028,0.0012622500071302,0.3731431579640728,1.0,0.9162888888888889,0.5113636363636364
German Credit,3,1.0,Starfish-proxy,12,10,211,97,0.7892156862745098,0.5113636363636364,0.7794034090909091,0.5,0.691389599317988,0.474715395514731,0.0252846044852689,0.0746274576221772,0.0011822920059785,0.3495061756818809,0.9959111111111111,0.6901666666666667,0.5113636363636364
German Credit,3,1.0,MA-ABE-FU,12,10,211,97,0.7892156862745098,0.5113636363636364,0.78125,0.5,0.6909633418584825,0.4750574094884448,0.0249425905115551,0.0710294500162449,0.0014174999960232,0.4190377674330375,0.6287444444444444,0.5336111111111111,0.5113636363636364
German Credit,3,1.0,Oracle-Retrain,12,10,211,97,0.7843137254901961,0.5,0.7734375,0.5,0.6453537936913896,0.4790638588948063,0.0209361411051937,0.0,0.0033827499719336,1.0,1.0,0.9206333333333333,0.5113636363636364
German Credit,7,0.25,FedAvg-Full,12,11,55,89,0.7877358490566038,0.5,0.7542248835662009,0.5,0.6121212121212121,0.5519918283963228,0.0519918283963227,0.0251800016985971,0.0036190410028211,1.047656082781387,1.0,0.9041555555555556,0.5
German Credit,7,0.25,SISA-Retrain,12,11,55,89,0.7877358490566038,0.5,0.7382568196939454,0.5,0.5797979797979798,0.5483146067415731,0.048314606741573,0.1169060802430488,0.0019000830070581,0.5500444782422262,1.0,0.8709,0.5
German Credit,7,0.25,FedEraser-proxy,12,11,55,89,0.7877358490566038,0.5,0.7538256819693946,0.5,0.6,0.5491317671092952,0.0491317671092952,0.0002660767463999,0.003309874999104,0.9581573332145956,1.0,0.8872333333333333,0.5
German Credit,7,0.25,FedRecovery-proxy,12,11,55,89,0.7877358490566038,0.5,0.7592814371257485,0.5,0.6166666666666667,0.5477017364657815,0.0477017364657814,0.0472222325913181,0.0015150840044952,0.4385932549526039,1.0,0.9008888888888889,0.5
German Credit,7,0.25,Starfish-proxy,12,11,55,89,0.7877358490566038,0.5,0.7587491683300066,0.5,0.6151515151515151,0.5483146067415731,0.048314606741573,0.0417671891559125,0.0012255840119905,0.3547875097631184,0.9740555555555556,0.6988666666666666,0.5
German Credit,7,0.25,MA-ABE-FU,12,11,55,89,0.7877358490566038,0.5,0.7595475715236194,0.5,0.6171717171717171,0.5483146067415731,0.048314606741573,0.0490217297183128,0.0014755410084035,0.4271461726027087,0.5994,0.48381111111111114,0.5
German Credit,7,0.25,Oracle-Retrain,12,11,55,89,0.7877358490566038,0.5,0.7536926147704591,0.5,0.6,0.5493360572012257,0.0493360572012256,0.0,0.0034544170193839,1.0,1.0,0.8725222222222222,0.5
German Credit,7,0.5,FedAvg-Full,12,12,110,89,0.7877358490566038,0.5,0.7542248835662009,0.5,0.6121212121212121,0.507150153217569,0.0071501532175689,0.0510048293007734,0.0036190410028211,1.0593219444496291,1.0,0.8978333333333334,0.5
German Credit,7,0.5,SISA-Retrain,12,12,110,89,0.7877358490566038,0.5,0.7386560212907518,0.5,0.5828282828282828,0.5169560776302349,0.0169560776302348,0.1211369751193085,0.0018435840029269,0.5396316287144596,1.0,0.9033333333333333,0.5
German Credit,7,0.5,FedEraser-proxy,12,12,110,89,0.7877358490566038,0.5,0.759148369926813,0.5,0.6055555555555555,0.5054136874361593,0.0054136874361593,0.0,0.0033766670094337,0.9883771583145556,1.0,0.8868,0.5
German Credit,7,0.5,FedRecovery-proxy,12,12,110,89,0.7877358490566038,0.5,0.7596806387225549,0.5,0.6186868686868687,0.5034729315628192,0.0034729315628192,0.0441654352436871,0.0012686249974649,0.3713365772988921,1.0,0.8869777777777778,0.5
German Credit,7,0.5,Starfish-proxy,12,12,110,89,0.7877358490566038,0.5,0.759148369926813,0.5,0.6176767676767677,0.5036772216547497,0.0036772216547497,0.0404137697369195,0.001355958986096,0.3968999269766566,0.9900111111111111,0.6980333333333333,0.5
German Credit,7,0.5,MA-ABE-FU,12,12,110,89,0.7877358490566038,0.5,0.7595475715236194,0.5,0.6186868686868687,0.5035750766087844,0.0035750766087844,0.045610493365956,0.001445917005185,0.4232313511373284,0.6421666666666667,0.5044777777777778,0.5
German Credit,7,0.5,Oracle-Retrain,12,12,110,89,0.7877358490566038,0.5,0.759148369926813,0.5,0.6055555555555555,0.5054136874361593,0.0054136874361593,0.0,0.0034163749951403,1.0,1.0,0.8950444444444444,0.5
German Credit,7,1.0,FedAvg-Full,12,12,219,89,0.7877358490566038,0.5,0.7542248835662009,0.5,0.6121212121212121,0.5220358114001334,0.0220358114001334,0.1218876046832538,0.0036190410028211,1.091908773587612,1.0,0.9253111111111111,0.5
German Credit,7,1.0,SISA-Retrain,12,12,219,89,0.7877358490566038,0.5,0.7337325349301397,0.5,0.557070707070707,0.5266020214457955,0.0266020214457954,0.1306507471934536,0.0018087089993059,0.5457095467195614,1.0,0.9266888888888889,0.5
German Credit,7,1.0,FedEraser-proxy,12,12,219,89,0.7877358490566038,0.5,0.7547571523619427,0.5,0.5858585858585859,0.5240880406341388,0.0240880406341388,0.0,0.003304083016701,0.9968821109750654,1.0,0.9122222222222223,0.5
German Credit,7,1.0,FedRecovery-proxy,12,12,219,89,0.7877358490566038,0.5,0.7608782435129741,0.5,0.6121212121212121,0.5220358114001334,0.0220358114001334,0.0718212671558002,0.0012575409782584,0.3794154380223876,1.0,0.9131666666666667,0.5
German Credit,7,1.0,Starfish-proxy,12,12,219,89,0.7877358490566038,0.5,0.7599467731204258,0.5,0.6136363636363636,0.5217792827458827,0.0217792827458827,0.0743856435068355,0.0011806249967776,0.3562089490816504,0.9948333333333333,0.7162111111111111,0.5
German Credit,7,1.0,MA-ABE-FU,12,12,219,89,0.7877358490566038,0.5,0.7612774451097805,0.5,0.6121212121212121,0.5219845056692832,0.0219845056692832,0.0712287427481423,0.0013994999753776,0.4222461974206204,0.6391,0.5474111111111111,0.5
German Credit,7,1.0,Oracle-Retrain,12,12,219,89,0.7877358490566038,0.5,0.7547571523619427,0.5,0.5858585858585859,0.5240880406341388,0.0240880406341388,0.0,0.0033144170010928,1.0,1.0,0.9241666666666667,0.5
German Credit,11,0.25,FedAvg-Full,12,12,52,103,0.803030303030303,0.5125,0.7427215189873417,0.5,0.7316981132075472,0.4611650485436893,0.0388349514563106,0.0348009245229287,0.0035625419986899,1.08835305847116,1.0,0.8896888888888889,0.5125
