dataset,forget_ratio,method,n,retained_bacc_mean,retained_bacc_ci,retained_auc_mean,retained_auc_ci,mia_gap_mean,mia_gap_ci,l2_to_oracle_mean,l2_to_oracle_ci,runtime_mean,runtime_ci,runtime_to_oracle_mean,runtime_to_oracle_ci,type_leak_auc_mean,type_leak_auc_ci,attribute_leak_auc_mean,attribute_leak_auc_ci
Bank Marketing,0.5,FedEraser-proxy,3,0.5002711135280656,0.0003750433732187448,0.8038633219082129,0.005327744526338129,0.021564622213366746,0.010529011197250011,7.827741151471998e-07,6.847649234179769e-07,0.04194052767707035,0.000458819513690213,0.9654247357923224,0.032724404535599716,1.0,0.0,0.8866888888888887,0.027142686832622664
Bank Marketing,0.5,FedRecovery-proxy,3,0.5003810519625423,0.00023147299458914445,0.8124285134844128,0.0060012743025413375,0.021550581084225178,0.01041201570047306,0.09088346979931465,0.00021257826983644556,0.02140945865539834,0.000882364180566434,0.49292677065394946,0.02936234696079139,1.0,0.0,0.8982666666666667,0.008997754485302295
Bank Marketing,0.5,Starfish-proxy,3,0.5002711135280656,0.0003750433732187448,0.8115028461876456,0.005793103685990288,0.021541658940655777,0.010410867670871021,0.08064430265435134,0.00016461664289707287,0.02129104166912536,0.0006891908677477911,0.49012560509382386,0.02347614279128062,0.9877592592592591,0.0038291199202312573,0.6676888888888889,0.01955627872568572
Bank Marketing,0.5,MA-ABE-FU,3,0.500601732368226,2.6604097937447572e-05,0.8128392589959065,0.005782502834912825,0.02150251245418518,0.0104232694440227,0.09475512041723703,0.00016079022489859685,0.025440486322622746,0.00017581211293761793,0.5854970156865299,0.010342810559267737,0.6120888888888888,0.029646461981431487,0.49869259259259263,0.018775948829332194
Bank Marketing,0.5,Oracle-Retrain,3,0.5002711135280656,0.0003750433732187448,0.803863559220566,0.005327888490507901,0.021564623463511606,0.01052794700410135,0.0,0.0,0.04345990266301669,0.0009830706112791672,1.0,0.0,1.0,0.0,0.901662962962963,0.009480350799480303
Bank Marketing,1.0,FedAvg-Full,3,0.5001603715568584,0.00044721146284470965,0.8042040179399943,0.005987769934403918,0.01699689504677458,0.015140609080541498,0.01844724264852853,0.00011423786646672222,0.04385377766448073,0.0019452147849902033,1.0415931393614588,0.01373280206217533,1.0,0.0,0.9258703703703702,0.005189045259493817
Bank Marketing,1.0,SISA-Retrain,3,0.4999550346014387,4.349364470236406e-08,0.7896471062047032,0.00564763995284274,0.016868050407169877,0.01593286000490525,0.15112255403221017,7.834546898236406e-05,0.020563916322619964,0.00018304333876057005,0.4890410430351548,0.027281949673429326,1.0,0.0,0.9230999999999999,0.008311211490778226
Bank Marketing,1.0,FedEraser-proxy,3,0.5002711135280656,0.0003750433732187448,0.8031045227802455,0.005557656363418694,0.016897596956598777,0.015906291728486847,8.945162243774951e-07,1.5698370993436226e-06,0.04135555566366141,0.0012643871398181103,0.9826707927068995,0.026916807816497825,1.0,0.0,0.9280370370370369,0.003584861543396372
Bank Marketing,1.0,FedRecovery-proxy,3,0.5004909903970189,0.00024364861445177796,0.812423361563282,0.006072250200362179,0.017083785545610092,0.015319303632866824,0.09183684173094671,0.0002035287580067872,0.02100723599626993,0.0004749653398285972,0.49933127612130795,0.01997459713527293,1.0,0.0,0.9238444444444444,0.014759566556585328
Bank Marketing,1.0,Starfish-proxy,3,0.5002711135280656,0.0003750433732187448,0.8115196572234487,0.005857357289807528,0.01706395552673882,0.015316273686220835,0.08183257506901004,0.00020438081037626153,0.020357971991567563,0.00109164399128827,0.483397249314915,0.0016882119625915325,0.9951740740740741,9.095825781048636e-05,0.6849629629629629,0.02397557394785252
